Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,MLP,0.7722925457102672,0.7562375564259752,0.7601958971339181,0.7578178584708665,0.905976937263489,
2,MLP,0.7630098452883263,0.74633725831325,0.7555399875044055,0.7507039652685714,0.8994683934058368,
3,MLP,0.7630098452883263,0.7434964853948433,0.7655724456026519,0.7532235462947168,0.9025752225707723,
4,MLP,0.7748241912798874,0.7593978701569913,0.7715365060952063,0.7649809438008702,0.9069063830307141,
5,MLP,0.7624472573839662,0.7453299568221511,0.7579605005466036,0.7511716417494553,0.8985704590745766,
6,MLP,0.7784810126582279,0.7601821661117806,0.7772956753117982,0.7679328564899587,0.9108676109787193,
7,MLP,0.759774964838256,0.7390067714902652,0.7550099345728518,0.746306447061365,0.899783516938049,
8,MLP,0.7676185117456745,0.7503648652681361,0.7602415547411883,0.7549801211402155,0.9038009028646429,
9,MLP,0.7624138416092278,0.744389579490965,0.7468777497790775,0.7455313578991327,0.9017003145490667,
10,MLP,0.7646645097763398,0.7485345701466329,0.7613256651941924,0.7542417034855524,0.9010425365632891,
1,MLP,0.8457627118644068,0.8478200928149141,0.8457668955448123,0.8402649724803256,0.9405896248291358,
2,MLP,0.8380909901873327,0.8389797754059821,0.8380947599071499,0.8324222251849301,0.9349975383572794,
3,MLP,0.8421944692239072,0.8461548839213485,0.8422012393380087,0.8351756191913133,0.936841191570108,
4,MLP,0.8570026761819803,0.8602793723623386,0.8570085790626635,0.851574073559704,0.9438086452663907,
5,MLP,0.8459411239964317,0.8486209166474924,0.8459458170193429,0.8399918330435089,0.938918567158736,
6,MLP,0.8569899188152378,0.8597420928941953,0.8569842023845883,0.8517857989357741,0.9429462617346028,
7,MLP,0.8444107413685431,0.8501249745674548,0.8444041174763927,0.8374587547079537,0.9354057618232359,
8,MLP,0.8489606566152199,0.8531307754015197,0.848955369812113,0.8430143851503242,0.9403744861954234,
9,MLP,0.8487822285663307,0.8511968871799889,0.8487767348411444,0.8430389162941454,0.9374404182614322,
10,MLP,0.8502096529574449,0.853328333799817,0.850204167213411,0.844495068514188,0.9393686875582076,
1,MLP,0.8456735057983943,0.8446420657946082,0.8456742355177703,0.8435428282097752,0.9479836112689859,
2,MLP,0.8390722569134701,0.8391434141616915,0.8390764404873846,0.8364185998842962,0.9459528803347004,
3,MLP,0.8324710080285459,0.8312494924130881,0.832472151376258,0.8301991292589502,0.9430626614959695,
4,MLP,0.8392506690454951,0.8390862997316271,0.8392515180391239,0.8367767409634977,0.9461329232037768,
5,MLP,0.8405887600356824,0.842515515644035,0.840591901079106,0.8368751129761347,0.9469690170297614,
6,MLP,0.8477116602729949,0.8469081705784637,0.8477112280936989,0.8460367376180775,0.948341412651133,
7,MLP,0.8389686858774199,0.8379439091926151,0.8389675213831934,0.8366034489376458,0.9438308846165828,
8,MLP,0.8376304755107503,0.8364902637278494,0.8376302182565035,0.8356893559078039,0.9458187473323866,
9,MLP,0.8336158444107413,0.8333373410971175,0.8336135815676596,0.8307351516563505,0.9443525915289527,
10,MLP,0.8393255419751985,0.8382353293492275,0.8393242421933031,0.8372414949854067,0.9464758614612473,
1,Transformer,0.8036568213783404,0.787590057175311,0.8073980105338098,0.7962897871278308,0.9219625560246852,
2,Transformer,0.7980309423347398,0.7851309477251881,0.80223485778012,0.7922330456592297,0.9186711329439768,
3,Transformer,0.7933895921237694,0.7777899038715148,0.7924626797513089,0.7843712778811597,0.9189160517200116,
4,Transformer,0.7988748241912799,0.7815558755230798,0.8015371765102769,0.7903124182484803,0.9208731839726679,
5,Transformer,0.79971870604782,0.7848460467602784,0.7979353324762641,0.7905640326528033,0.9188107207654652,
6,Transformer,0.8075949367088607,0.7921634508191557,0.8054250465353879,0.7983480765443346,0.9255182905649404,
7,Transformer,0.7880450070323488,0.7734781306422617,0.782409000496921,0.7776952268152235,0.9149232252715503,
8,Transformer,0.7929385286256857,0.7823359277245401,0.7824644452274062,0.7822521829550081,0.9182631920505061,
9,Transformer,0.7995498663665775,0.7826952322141053,0.8006551310359596,0.7907739523409326,0.920592354256755,
10,Transformer,0.7992685328456886,0.7867798615583409,0.7909249854379911,0.7883992544101329,0.9231076375778716,
1,Transformer,0.8992863514719001,0.9015255615367465,0.8992910851360615,0.896636773180992,0.9599998769312633,
2,Transformer,0.8950044603033006,0.8976254621037917,0.8950091461487141,0.8920854013678444,0.9571416165032277,
3,Transformer,0.8938447814451382,0.8971088791051823,0.8938497617340877,0.8906961236719488,0.9558573950942942,
4,Transformer,0.8867975022301516,0.8891428958815072,0.8868031588736742,0.8836351452416918,0.9535782791922177,
5,Transformer,0.8982158786797502,0.9013364344804381,0.8982208510798415,0.8951746789571436,0.9596442821211109,
6,Transformer,0.9067713444553483,0.908798827314802,0.9067674433396231,0.9045158859080468,0.9625085476367792,
7,Transformer,0.8960656615219913,0.8980844994812487,0.8960612588546314,0.8933431973905283,0.9553958198015177,
8,Transformer,0.9013292889642252,0.9049837663659271,0.9013243292903862,0.8984731530350171,0.9598898257336904,
9,Transformer,0.8965117316442145,0.8989978689723742,0.896506748018398,0.8937024743119507,0.9548593216235873,
10,Transformer,0.8975822999375502,0.8997422373308618,0.8975778177100077,0.8950141957878947,0.9566108732318961,
1,Transformer,0.8854594112399643,0.8855022207438198,0.8854628474595825,0.8842826185129722,0.9654396298751244,
2,Transformer,0.8789473684210526,0.8782490781935905,0.8789492844764538,0.8777570236397465,0.9616791934943146,
3,Transformer,0.8787689562890276,0.8787633868206255,0.8787721536491863,0.8771563820609337,0.9608345103793333,
4,Transformer,0.8780553077609278,0.8779250351270651,0.8780583300242171,0.8767576322279577,0.9609463900666588,
5,Transformer,0.8702943800178412,0.8704471927748655,0.8702981422918031,0.8683140284226537,0.9581730157517617,
6,Transformer,0.8859844767597467,0.885715274456571,0.8859827559236044,0.8848374855869595,0.9636433424421361,
7,Transformer,0.8830404139530734,0.8830734828052963,0.8830374515546352,0.8814812528885181,0.9605161768269145,
8,Transformer,0.8770630743152824,0.876765107104898,0.8770603664915365,0.8757379278916746,0.9628407456903676,
9,Transformer,0.8745650816308324,0.8747996655478222,0.8745617450511762,0.8726683514192901,0.9608769593831615,
10,Transformer,0.8761709340708359,0.8756250821600716,0.8761693404134093,0.8748029948522134,0.962624961568213,
1,TabTransformer,0.7490857946554149,0.7362530699929705,0.733173362685641,0.7346473613837107,0.8948912581010743,
2,TabTransformer,0.7621659634317862,0.7517453229640877,0.7472666995281473,0.7492440660484906,0.9011854196962479,
3,TabTransformer,0.7455696202531645,0.732190476042935,0.7267887076184955,0.7292736406981325,0.8928760158799344,
4,TabTransformer,0.7528832630098453,0.7369454339909248,0.742689662322842,0.7392767005871764,0.8961547543146614,
5,TabTransformer,0.7443037974683544,0.7289392149179551,0.7295392159848296,0.729226602603498,0.8902135067954267,
6,TabTransformer,0.7552742616033755,0.7449347773079528,0.7341115812711733,0.7390976881377952,0.9010298877582921,
7,TabTransformer,0.750070323488045,0.7299974861591835,0.7380356068194587,0.7336491482633196,0.8952740533052507,
8,TabTransformer,0.7465184976789985,0.7342325202703089,0.7252388822239505,0.729534404291693,0.8946845140879757,
9,TabTransformer,0.7406104937403292,0.7246561207621801,0.710574493473318,0.7167389573407738,0.8907773249780703,
10,TabTransformer,0.7494724996483331,0.736360477941237,0.7174772839773028,0.7259115031489197,0.8965506115272429,
1,TabTransformer,0.8855486173059768,0.8844739117338719,0.8855496102883048,0.8840093275607689,0.9591994648610084,
2,TabTransformer,0.8866190900981267,0.8875733827041822,0.886622804881333,0.8840885817101438,0.9580752190814407,
3,TabTransformer,0.8798394290811775,0.8800050819710252,0.8798425070818906,0.8771402739375421,0.953427086849418,
4,TabTransformer,0.8791257805530777,0.8777266088511291,0.8791261049248625,0.8775854117376864,0.9564549216779029,
5,TabTransformer,0.8874219446922391,0.8869138439937557,0.887423773339774,0.8853727497731376,0.9591779979707583,
6,TabTransformer,0.8842001962708538,0.8833306202176839,0.8841981013599942,0.8827653906252336,0.9596366393032897,
7,TabTransformer,0.8767954322419484,0.8757473766798447,0.8767940853058626,0.8744720563765811,0.9545521139802632,
8,TabTransformer,0.8864305468819699,0.8868556462789104,0.8864275527037627,0.8839738769616905,0.9591915747463259,
9,TabTransformer,0.8769738602908377,0.8768793842465366,0.8769711445072397,0.874320568139717,0.9539707935043826,
10,TabTransformer,0.888660897493086,0.887722070655984,0.8886597974572618,0.887000280794305,0.9583809368941015,
1,TabTransformer,0.8480820695807315,0.8470684630021913,0.8480826083360694,0.8474056612454502,0.9482569996637583,
2,TabTransformer,0.8451382694023194,0.8438385667043585,0.8451381157271928,0.8438913386202257,0.9462808797090334,
3,TabTransformer,0.8446030330062444,0.8434276364140727,0.8446045028427838,0.8435737448063888,0.9456619398707269,
4,TabTransformer,0.8497769848349688,0.8486234894389807,0.8497776111600395,0.8487835414766622,0.9518355445652186,
5,TabTransformer,0.8450490633363069,0.8439562158279014,0.8450504695124875,0.8442088922981549,0.9478928497226097,
6,TabTransformer,0.8467303060041038,0.8455451529088229,0.8467292610099021,0.8456558958458661,0.9492365035552567,
7,TabTransformer,0.847444018199661,0.8462860019277865,0.8474424638771535,0.8463331138107688,0.9460456406320787,
8,TabTransformer,0.8463734499063252,0.8463267864545556,0.846372874453948,0.8463449685201593,0.9469746181319088,
9,TabTransformer,0.8468195200285484,0.8455017059515703,0.8468184591189023,0.8454848097923783,0.9469329871205746,
10,TabTransformer,0.8532429297885628,0.8521955409866209,0.8532419644823444,0.8524485177426095,0.9501200797380571,
1,FTTransformer,0.8144866385372714,0.7977349440493645,0.8265537090793775,0.8097825743940659,0.9238849970594959,
2,FTTransformer,0.8073136427566807,0.7952778254231981,0.8142508751567451,0.8037321438373041,0.9234292737407653,
3,FTTransformer,0.7938115330520393,0.7831245680972109,0.7936784978728455,0.7870237358868274,0.9159035280525306,
4,FTTransformer,0.7862165963431786,0.7696685106196446,0.7905961016500683,0.7790648025752119,0.9160340186732946,
5,FTTransformer,0.8030942334739803,0.7903542668525413,0.8030591749859689,0.7950435223846428,0.922001636147249,
6,FTTransformer,0.8085794655414908,0.7913364491053546,0.8150759892163091,0.8017164774077722,0.9229075359814359,
7,FTTransformer,0.8008438818565401,0.7858945891704942,0.7997986747545887,0.7920575878237525,0.9208552124355235,
8,FTTransformer,0.8106625404416936,0.7975595049759049,0.8151520711685896,0.8053828344820784,0.9239032892654878,
9,FTTransformer,0.8047545365030243,0.7872913047359279,0.8127233883780781,0.7974868460088121,0.9185161611051247,
10,FTTransformer,0.7915318610212407,0.7756978272833971,0.7965360998662335,0.7849418084389678,0.9160879924317951,
1,FTTransformer,0.8925066904549509,0.8950919367525897,0.892512004976758,0.8895683836674383,0.9552694333074744,
2,FTTransformer,0.8851917930419269,0.8895132629850885,0.8851979271658283,0.8810539665537666,0.950191862280465,
3,FTTransformer,0.8865298840321142,0.8911453087393951,0.8865361853043918,0.8826656141702767,0.9526912997468742,
4,FTTransformer,0.8977698483496878,0.9015748824443421,0.8977754335419652,0.8945888584514053,0.9563109188705257,
5,FTTransformer,0.8867082961641392,0.8896672984868884,0.8867130535033941,0.8830384591156321,0.9555703784744946,
6,FTTransformer,0.898117584084218,0.9026893475578682,0.8981119081003534,0.8948914522400333,0.9584973282241945,
7,FTTransformer,0.8957980194486573,0.8992173729143458,0.8957928288922415,0.8925324011158451,0.9543574510709294,
8,FTTransformer,0.8924971005442055,0.8963963729642991,0.892491639348552,0.8889054655826302,0.9561066986603773,
9,FTTransformer,0.888125613346418,0.8929212107860272,0.8881194517391435,0.8841411209939593,0.9522510141949486,
10,FTTransformer,0.894370595057543,0.8989895293247646,0.8943647757622571,0.8908820675652924,0.9570927010024061,
1,FTTransformer,0.8774308652988403,0.8773059309191359,0.877434468517747,0.8762247086517584,0.9624330940693997,
2,FTTransformer,0.8756467439785905,0.8757490703781862,0.8756503630859642,0.8745011138846855,0.9612418144658511,
3,FTTransformer,0.8734165923282783,0.8733858917249542,0.8734198851044316,0.8717462243097437,0.9588466397474296,
4,FTTransformer,0.8787689562890276,0.8790115168679158,0.878771891020921,0.8771342739777032,0.9620331349313749,
5,FTTransformer,0.8748438893844781,0.8752579585442088,0.8748476756061508,0.8730650958784353,0.9601697985730331,
6,FTTransformer,0.8738513694352752,0.8743683033435579,0.8738478736756133,0.8722236865717109,0.9603463900248211,
