Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,FTTransformer,0.8144866385372714,0.7977349440493645,0.8265537090793775,0.8097825743940659,0.9238849970594959,
2,FTTransformer,0.8073136427566807,0.7952778254231981,0.8142508751567451,0.8037321438373041,0.9234292737407653,
3,FTTransformer,0.7938115330520393,0.7831245680972109,0.7936784978728455,0.7870237358868274,0.9159035280525306,
4,FTTransformer,0.7862165963431786,0.7696685106196446,0.7905961016500683,0.7790648025752119,0.9160340186732946,
5,FTTransformer,0.8030942334739803,0.7903542668525413,0.8030591749859689,0.7950435223846428,0.922001636147249,
6,FTTransformer,0.8085794655414908,0.7913364491053546,0.8150759892163091,0.8017164774077722,0.9229075359814359,
7,FTTransformer,0.8008438818565401,0.7858945891704942,0.7997986747545887,0.7920575878237525,0.9208552124355235,
8,FTTransformer,0.8106625404416936,0.7975595049759049,0.8151520711685896,0.8053828344820784,0.9239032892654878,
9,FTTransformer,0.8047545365030243,0.7872913047359279,0.8127233883780781,0.7974868460088121,0.9185161611051247,
10,FTTransformer,0.7915318610212407,0.7756978272833971,0.7965360998662335,0.7849418084389678,0.9160879924317951,
