Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,FTTransformer,0.8925066904549509,0.8950919367525897,0.892512004976758,0.8895683836674383,0.9552694333074744,
2,FTTransformer,0.8851917930419269,0.8895132629850885,0.8851979271658283,0.8810539665537666,0.950191862280465,
3,FTTransformer,0.8865298840321142,0.8911453087393951,0.8865361853043918,0.8826656141702767,0.9526912997468742,
4,FTTransformer,0.8977698483496878,0.9015748824443421,0.8977754335419652,0.8945888584514053,0.9563109188705257,
5,FTTransformer,0.8867082961641392,0.8896672984868884,0.8867130535033941,0.8830384591156321,0.9555703784744946,
6,FTTransformer,0.898117584084218,0.9026893475578682,0.8981119081003534,0.8948914522400333,0.9584973282241945,
7,FTTransformer,0.8957980194486573,0.8992173729143458,0.8957928288922415,0.8925324011158451,0.9543574510709294,
8,FTTransformer,0.8924971005442055,0.8963963729642991,0.892491639348552,0.8889054655826302,0.9561066986603773,
9,FTTransformer,0.888125613346418,0.8929212107860272,0.8881194517391435,0.8841411209939593,0.9522510141949486,
10,FTTransformer,0.894370595057543,0.8989895293247646,0.8943647757622571,0.8908820675652924,0.9570927010024061,
