Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,FTTransformer,0.8774308652988403,0.8773059309191359,0.877434468517747,0.8762247086517584,0.9624330940693997,
2,FTTransformer,0.8756467439785905,0.8757490703781862,0.8756503630859642,0.8745011138846855,0.9612418144658511,
3,FTTransformer,0.8734165923282783,0.8733858917249542,0.8734198851044316,0.8717462243097437,0.9588466397474296,
4,FTTransformer,0.8787689562890276,0.8790115168679158,0.878771891020921,0.8771342739777032,0.9620331349313749,
5,FTTransformer,0.8748438893844781,0.8752579585442088,0.8748476756061508,0.8730650958784353,0.9601697985730331,
6,FTTransformer,0.8738513694352752,0.8743683033435579,0.8738478736756133,0.8722236865717109,0.9603463900248211,
7,FTTransformer,0.8745650816308324,0.8751108901717851,0.8745619121782542,0.8725252995731131,0.9580165712254446,
8,FTTransformer,0.8777767865108395,0.8778236030098965,0.8777740468647247,0.876276644874696,0.9617296193776285,
9,FTTransformer,0.8803639932197341,0.8801126639692892,0.8803609352775084,0.8791167930703443,0.9598374395472925,
10,FTTransformer,0.8776875724863948,0.8775993075501677,0.8776847771298341,0.8761098655381149,0.9626550703766267,
