Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,MLP,0.7722925457102672,0.7562375564259752,0.7601958971339181,0.7578178584708665,0.905976937263489,
2,MLP,0.7630098452883263,0.74633725831325,0.7555399875044055,0.7507039652685714,0.8994683934058368,
3,MLP,0.7630098452883263,0.7434964853948433,0.7655724456026519,0.7532235462947168,0.9025752225707723,
4,MLP,0.7748241912798874,0.7593978701569913,0.7715365060952063,0.7649809438008702,0.9069063830307141,
5,MLP,0.7624472573839662,0.7453299568221511,0.7579605005466036,0.7511716417494553,0.8985704590745766,
6,MLP,0.7784810126582279,0.7601821661117806,0.7772956753117982,0.7679328564899587,0.9108676109787193,
7,MLP,0.759774964838256,0.7390067714902652,0.7550099345728518,0.746306447061365,0.899783516938049,
8,MLP,0.7676185117456745,0.7503648652681361,0.7602415547411883,0.7549801211402155,0.9038009028646429,
9,MLP,0.7624138416092278,0.744389579490965,0.7468777497790775,0.7455313578991327,0.9017003145490667,
10,MLP,0.7646645097763398,0.7485345701466329,0.7613256651941924,0.7542417034855524,0.9010425365632891,
