Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,MLP,0.8457627118644068,0.8478200928149141,0.8457668955448123,0.8402649724803256,0.9405896248291358,
2,MLP,0.8380909901873327,0.8389797754059821,0.8380947599071499,0.8324222251849301,0.9349975383572794,
3,MLP,0.8421944692239072,0.8461548839213485,0.8422012393380087,0.8351756191913133,0.936841191570108,
4,MLP,0.8570026761819803,0.8602793723623386,0.8570085790626635,0.851574073559704,0.9438086452663907,
5,MLP,0.8459411239964317,0.8486209166474924,0.8459458170193429,0.8399918330435089,0.938918567158736,
6,MLP,0.8569899188152378,0.8597420928941953,0.8569842023845883,0.8517857989357741,0.9429462617346028,
7,MLP,0.8444107413685431,0.8501249745674548,0.8444041174763927,0.8374587547079537,0.9354057618232359,
8,MLP,0.8489606566152199,0.8531307754015197,0.848955369812113,0.8430143851503242,0.9403744861954234,
9,MLP,0.8487822285663307,0.8511968871799889,0.8487767348411444,0.8430389162941454,0.9374404182614322,
10,MLP,0.8502096529574449,0.853328333799817,0.850204167213411,0.844495068514188,0.9393686875582076,
