Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,MLP,0.8456735057983943,0.8446420657946082,0.8456742355177703,0.8435428282097752,0.9479836112689859,
2,MLP,0.8390722569134701,0.8391434141616915,0.8390764404873846,0.8364185998842962,0.9459528803347004,
3,MLP,0.8324710080285459,0.8312494924130881,0.832472151376258,0.8301991292589502,0.9430626614959695,
4,MLP,0.8392506690454951,0.8390862997316271,0.8392515180391239,0.8367767409634977,0.9461329232037768,
5,MLP,0.8405887600356824,0.842515515644035,0.840591901079106,0.8368751129761347,0.9469690170297614,
6,MLP,0.8477116602729949,0.8469081705784637,0.8477112280936989,0.8460367376180775,0.948341412651133,
7,MLP,0.8389686858774199,0.8379439091926151,0.8389675213831934,0.8366034489376458,0.9438308846165828,
8,MLP,0.8376304755107503,0.8364902637278494,0.8376302182565035,0.8356893559078039,0.9458187473323866,
9,MLP,0.8336158444107413,0.8333373410971175,0.8336135815676596,0.8307351516563505,0.9443525915289527,
10,MLP,0.8393255419751985,0.8382353293492275,0.8393242421933031,0.8372414949854067,0.9464758614612473,
