Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,TabTransformer,0.7490857946554149,0.7362530699929705,0.733173362685641,0.7346473613837107,0.8948912581010743,
2,TabTransformer,0.7621659634317862,0.7517453229640877,0.7472666995281473,0.7492440660484906,0.9011854196962479,
3,TabTransformer,0.7455696202531645,0.732190476042935,0.7267887076184955,0.7292736406981325,0.8928760158799344,
4,TabTransformer,0.7528832630098453,0.7369454339909248,0.742689662322842,0.7392767005871764,0.8961547543146614,
5,TabTransformer,0.7443037974683544,0.7289392149179551,0.7295392159848296,0.729226602603498,0.8902135067954267,
6,TabTransformer,0.7552742616033755,0.7449347773079528,0.7341115812711733,0.7390976881377952,0.9010298877582921,
7,TabTransformer,0.750070323488045,0.7299974861591835,0.7380356068194587,0.7336491482633196,0.8952740533052507,
8,TabTransformer,0.7465184976789985,0.7342325202703089,0.7252388822239505,0.729534404291693,0.8946845140879757,
9,TabTransformer,0.7406104937403292,0.7246561207621801,0.710574493473318,0.7167389573407738,0.8907773249780703,
10,TabTransformer,0.7494724996483331,0.736360477941237,0.7174772839773028,0.7259115031489197,0.8965506115272429,
