Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,TabTransformer,0.8855486173059768,0.8844739117338719,0.8855496102883048,0.8840093275607689,0.9591994648610084,
2,TabTransformer,0.8866190900981267,0.8875733827041822,0.886622804881333,0.8840885817101438,0.9580752190814407,
3,TabTransformer,0.8798394290811775,0.8800050819710252,0.8798425070818906,0.8771402739375421,0.953427086849418,
4,TabTransformer,0.8791257805530777,0.8777266088511291,0.8791261049248625,0.8775854117376864,0.9564549216779029,
5,TabTransformer,0.8874219446922391,0.8869138439937557,0.887423773339774,0.8853727497731376,0.9591779979707583,
6,TabTransformer,0.8842001962708538,0.8833306202176839,0.8841981013599942,0.8827653906252336,0.9596366393032897,
7,TabTransformer,0.8767954322419484,0.8757473766798447,0.8767940853058626,0.8744720563765811,0.9545521139802632,
8,TabTransformer,0.8864305468819699,0.8868556462789104,0.8864275527037627,0.8839738769616905,0.9591915747463259,
9,TabTransformer,0.8769738602908377,0.8768793842465366,0.8769711445072397,0.874320568139717,0.9539707935043826,
10,TabTransformer,0.888660897493086,0.887722070655984,0.8886597974572618,0.887000280794305,0.9583809368941015,
