Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,TabTransformer,0.8480820695807315,0.8470684630021913,0.8480826083360694,0.8474056612454502,0.9482569996637583,
2,TabTransformer,0.8451382694023194,0.8438385667043585,0.8451381157271928,0.8438913386202257,0.9462808797090334,
3,TabTransformer,0.8446030330062444,0.8434276364140727,0.8446045028427838,0.8435737448063888,0.9456619398707269,
4,TabTransformer,0.8497769848349688,0.8486234894389807,0.8497776111600395,0.8487835414766622,0.9518355445652186,
5,TabTransformer,0.8450490633363069,0.8439562158279014,0.8450504695124875,0.8442088922981549,0.9478928497226097,
6,TabTransformer,0.8467303060041038,0.8455451529088229,0.8467292610099021,0.8456558958458661,0.9492365035552567,
7,TabTransformer,0.847444018199661,0.8462860019277865,0.8474424638771535,0.8463331138107688,0.9460456406320787,
8,TabTransformer,0.8463734499063252,0.8463267864545556,0.846372874453948,0.8463449685201593,0.9469746181319088,
9,TabTransformer,0.8468195200285484,0.8455017059515703,0.8468184591189023,0.8454848097923783,0.9469329871205746,
10,TabTransformer,0.8532429297885628,0.8521955409866209,0.8532419644823444,0.8524485177426095,0.9501200797380571,
