Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,Transformer,0.8036568213783404,0.787590057175311,0.8073980105338098,0.7962897871278308,0.9219625560246852,
2,Transformer,0.7980309423347398,0.7851309477251881,0.80223485778012,0.7922330456592297,0.9186711329439768,
3,Transformer,0.7933895921237694,0.7777899038715148,0.7924626797513089,0.7843712778811597,0.9189160517200116,
4,Transformer,0.7988748241912799,0.7815558755230798,0.8015371765102769,0.7903124182484803,0.9208731839726679,
5,Transformer,0.79971870604782,0.7848460467602784,0.7979353324762641,0.7905640326528033,0.9188107207654652,
6,Transformer,0.8075949367088607,0.7921634508191557,0.8054250465353879,0.7983480765443346,0.9255182905649404,
7,Transformer,0.7880450070323488,0.7734781306422617,0.782409000496921,0.7776952268152235,0.9149232252715503,
8,Transformer,0.7929385286256857,0.7823359277245401,0.7824644452274062,0.7822521829550081,0.9182631920505061,
9,Transformer,0.7995498663665775,0.7826952322141053,0.8006551310359596,0.7907739523409326,0.920592354256755,
10,Transformer,0.7992685328456886,0.7867798615583409,0.7909249854379911,0.7883992544101329,0.9231076375778716,
