Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,Transformer,0.8992863514719001,0.9015255615367465,0.8992910851360615,0.896636773180992,0.9599998769312633,
2,Transformer,0.8950044603033006,0.8976254621037917,0.8950091461487141,0.8920854013678444,0.9571416165032277,
3,Transformer,0.8938447814451382,0.8971088791051823,0.8938497617340877,0.8906961236719488,0.9558573950942942,
4,Transformer,0.8867975022301516,0.8891428958815072,0.8868031588736742,0.8836351452416918,0.9535782791922177,
5,Transformer,0.8982158786797502,0.9013364344804381,0.8982208510798415,0.8951746789571436,0.9596442821211109,
6,Transformer,0.9067713444553483,0.908798827314802,0.9067674433396231,0.9045158859080468,0.9625085476367792,
7,Transformer,0.8960656615219913,0.8980844994812487,0.8960612588546314,0.8933431973905283,0.9553958198015177,
8,Transformer,0.9013292889642252,0.9049837663659271,0.9013243292903862,0.8984731530350171,0.9598898257336904,
9,Transformer,0.8965117316442145,0.8989978689723742,0.896506748018398,0.8937024743119507,0.9548593216235873,
10,Transformer,0.8975822999375502,0.8997422373308618,0.8975778177100077,0.8950141957878947,0.9566108732318961,
