Fold,Model Name,accuracy,precision,recall,f1_score,roc_auc,attention_weights
1,Transformer,0.8854594112399643,0.8855022207438198,0.8854628474595825,0.8842826185129722,0.9654396298751244,
2,Transformer,0.8789473684210526,0.8782490781935905,0.8789492844764538,0.8777570236397465,0.9616791934943146,
3,Transformer,0.8787689562890276,0.8787633868206255,0.8787721536491863,0.8771563820609337,0.9608345103793333,
4,Transformer,0.8780553077609278,0.8779250351270651,0.8780583300242171,0.8767576322279577,0.9609463900666588,
5,Transformer,0.8702943800178412,0.8704471927748655,0.8702981422918031,0.8683140284226537,0.9581730157517617,
6,Transformer,0.8859844767597467,0.885715274456571,0.8859827559236044,0.8848374855869595,0.9636433424421361,
7,Transformer,0.8830404139530734,0.8830734828052963,0.8830374515546352,0.8814812528885181,0.9605161768269145,
8,Transformer,0.8770630743152824,0.876765107104898,0.8770603664915365,0.8757379278916746,0.9628407456903676,
9,Transformer,0.8745650816308324,0.8747996655478222,0.8745617450511762,0.8726683514192901,0.9608769593831615,
10,Transformer,0.8761709340708359,0.8756250821600716,0.8761693404134093,0.8748029948522134,0.962624961568213,
