Model 1,Model 2,Kendall Tau,Kendall p-value,Spearman Rho,Spearman p-value,Common Features
Logistic Regression,XGBoost,0.4879227053140097,1.7406416021965585e-06,0.6546407647240209,8.005163792261425e-07,46
Logistic Regression,MLP,0.48212560386473435,2.3055994051391466e-06,0.6622880049337033,5.356606982002586e-07,46
Logistic Regression,Transformer,0.5207729468599035,3.337215572301056e-07,0.7113783533765033,3.004030338681179e-08,46
Logistic Regression,TabTransformer,0.5748792270531402,1.765369681764716e-08,0.7591119333950047,9.70816116208025e-10,46
Logistic Regression,FTTransformer,0.6309178743961353,6.301314773650868e-10,0.8127659574468086,6.902981518623742e-12,46
XGBoost,MLP,0.3178743961352657,0.0018393122492437592,0.46740672217082946,0.0010564000466313796,46
XGBoost,Transformer,0.514975845410628,4.4991824592214384e-07,0.6650015417823003,4.632047684620242e-07,46
XGBoost,TabTransformer,0.6270531400966184,8.00489368305286e-10,0.7376503237742831,4.975618781224424e-09,46
XGBoost,FTTransformer,0.5942028985507247,5.783053788759605e-09,0.7192722787542398,1.7876979523664384e-08,46
MLP,Transformer,0.4628019323671498,5.753673341778331e-06,0.6256552574776442,3.329408913233839e-06,46
MLP,TabTransformer,0.48599033816425125,1.912278136747353e-06,0.6508171446191797,9.744980352420474e-07,46
MLP,FTTransformer,0.5033816425120773,8.101469592335867e-07,0.6825161887141535,1.7472861662209852e-07,46
Transformer,TabTransformer,0.6019323671497585,3.6646865571023107e-09,0.7925377736663584,5.2754562563204456e-11,46
Transformer,FTTransformer,0.5961352657004831,5.162438389154044e-09,0.7855072463768117,1.0156561673121658e-10,46
TabTransformer,FTTransformer,0.6966183574879228,8.69885915898128e-12,0.8638297872340425,1.0886935589779289e-14,46
